Butikk,Bonus,Link
ARKET,14% Rabatt,https://studentkortet.no/rabatter/mote/klaer/arket/
Acer,Spar 5%,https://studentkortet.no/rabatter/elektronikk/data-programvare/acer/
Adlibris,Spar 5%,https://studentkortet.no/rabatter/boeker/pensum-rekvisita/adlibris/
Adobe,Spar 40-60 %,https://studentkortet.no/rabatter/elektronikk/data-programvare/adobe/
Aftenposten,"3 år for 300,-",https://studentkortet.no/rabatter/boeker/aviser/aftenposten/
Aktiv365,Spar 1440-,https://studentkortet.no/rabatter/lokale/bergen/aktiv365/
Amor,Spar 22%,https://studentkortet.no/rabatter/velvaere/erotikk/amor/
Apollo,"Spar 500,-",https://studentkortet.no/rabatter/reise/hotell/apollo/
AtlasVPN,Spar 85%,https://studentkortet.no/rabatter/elektronikk/data-programvare/atlasvpn/
BAR,Spar 50%,https://studentkortet.no/rabatter/lokale/bergen/bar-3-bergen/
Babyshop,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/babyshop/
Balkan,Spar 10%,https://studentkortet.no/rabatter/lokale/oslo/balkan-pizza-kebab-house/
Bangerhead,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/bangerhead/
Beauty,Spar 20%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/beauty-mall/
Beckmann,Spar 20 %,https://studentkortet.no/rabatter/mote/annet/beckmann/
Bendvold,Spar 30 %,https://studentkortet.no/rabatter/lokale/kristiansand/bendvold-tannlegesenter/
Bergen,Spar 20 %,https://studentkortet.no/rabatter/lokale/bergen/bergen-mobil-fiks/
BergenFiber,"Spar 2 160,-",https://studentkortet.no/rabatter/lokale/bergen/bergenfiber/
Bergens,"3 år for 300,-",https://studentkortet.no/rabatter/boeker/aviser/bergens-tidende/
Bestått.no,Spar 25 %,https://studentkortet.no/rabatter/tjenester/annet/bestaattno/
Better,Spar 15 %,https://studentkortet.no/rabatter/velvaere/trening-friluft/better-bodies/
BliVakker,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/blivakker/
Blush,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/blush/
Bodystore,Spar 10%,https://studentkortet.no/rabatter/mat/helsekost/bodystore/
BookBeat,90 dager gratis,https://studentkortet.no/rabatter/boeker/annet/bookbeat/
Brando,Spar 5%,https://studentkortet.no/rabatter/mote/klaer/brando/
Brewshop,Spar 15%,https://studentkortet.no/rabatter/mat/helsekost/brewshop/
Bryggen,Spar 15%,https://studentkortet.no/rabatter/lokale/bergen/bryggen-hudlegesenter/
Brødrene,Spar 10 %,https://studentkortet.no/rabatter/lokale/tromsoe/broedrene-johannessen/
Bubbleroom,Spar 12 %,https://studentkortet.no/rabatter/mote/klaer/bubbleroom/
Burgerman,Spar 15%,https://studentkortet.no/rabatter/lokale/tromsoe/burgerman/
Byvoks,Spar 10%,https://studentkortet.no/rabatter/tjenester/annet/byvoks/
CDON.COM,35kr,https://studentkortet.no/rabatter/elektronikk/data-programvare/cdoncom/
CVapp,2 dager gratis,https://studentkortet.no/rabatter/tjenester/annet/cvapp/
Chillout,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/chillout/
Coolstuff,Spar 15%,https://studentkortet.no/rabatter/tjenester/annet/coolstuff/
Crispy,Spar 15%,https://studentkortet.no/rabatter/lokale/oslo/crispy-crust/
Curli,Spar 15%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/curli/
CyberGhost,Spar 83%,https://studentkortet.no/rabatter/elektronikk/data-programvare/cyberghost-vpn/
Dagbladet,50% rabatt,https://studentkortet.no/rabatter/boeker/aviser/dagbladet-pluss/
Daniel,Spar 15%,https://studentkortet.no/rabatter/mote/accessories/daniel-wellington/
Db,Spar 15%,https://studentkortet.no/rabatter/mote/accessories/db/
Dentway,Spar 10 %,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/dentway/
Disney+,Spar 15%,https://studentkortet.no/rabatter/tjenester/annet/disneyplus/
Dyson,Spar 15%,https://studentkortet.no/rabatter/hybelen/renhold/dyson/
E.C.,Spar 15 %,https://studentkortet.no/rabatter/lokale/trondheim/ec-dahls-pub-og-kjoekken/
EMP,Spar 15%,https://studentkortet.no/rabatter/mote/klaer/emp/
Ellos,15% rabatt,https://studentkortet.no/rabatter/mote/klaer/ellos/
Elskling,Tilbud,https://studentkortet.no/rabatter/tjenester/strom/elskling/
Estrid,"Spar 69,-",https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/estrid/
Euroflorist,Spar 13%,https://studentkortet.no/rabatter/tjenester/annet/euroflorist/
