Butikk,Bonus,Link
AEG,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/aeg-trumf
AIM'N,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/aimn-trumf
ASICS,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/asics-trumf
ASICS Outlet,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/asics-outlet-trumf
ASOS,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfasos
AVIS,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/avis-trumf-1
Acer,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/acer-trumf
Adidas,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/adidas-trumfs
Adlibris,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/adlibris
Allente,195 kr (2632 poeng),https://trumfnetthandel.no/cashback/allente-trumf
Apollo,"1,1 % (15 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfapollo
Apple,"2,7 % (36 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfapple-store
Askeladden Navnelapper,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/askeladden-navnelapper
Auto Europe no,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/auto-europe-notrumf
Babyshop,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/babyshop-trumf
Babysjarm,"15,6 % (211 poeng per 100kr)",https://trumfnetthandel.no/cashback/babysjarm-trumf
Bad,"2,7 % (36 poeng per 100kr)",https://trumfnetthandel.no/cashback/bad-trumf
BagBrokers,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/bagbrokers-trumf
Bakeren og Kokken,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/bakeren-og-kokken-trumf
Bangerhead,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfbangerhead
Barbershop,"1,9 % (26 poeng per 100kr)",https://trumfnetthandel.no/cashback/barbershop-trumf
Beauty Mall,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/beauty-mall
Beckmann,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/beckmann-trumf
Bedre Inneklima,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/bedre-inneklima-trumf
Berg Watches,"9,5 % (128 poeng per 100kr)",https://trumfnetthandel.no/cashback/berg-watches-trumf
Bildeler,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/bildeler-trumf
Bilxtra,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/bilxtra-trumf
Björn Borg,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfbj%C3%B6rn-borg
Bladkongen,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfbladkongen
